"DatasetName","MonitoringLocationID","MonitoringLocationName","MonitoringLocationLatitude","MonitoringLocationLongitude","MonitoringLocationHorizontalCoordinateReferenceSystem","MonitoringLocationHorizontalAccuracyMeasure","MonitoringLocationHorizontalAccuracyUnit","MonitoringLocationType","ActivityType","ActivityMediaName","ActivityStartDate","ActivityStartTime","ActivityEndDate","ActivityEndTime","ActivityDepthHeightMeasure","ActivityDepthHeightUnit","SampleCollectionEquipmentName","CharacteristicName","MethodSpeciation","ResultSampleFraction","ResultValue","ResultUnit","ResultValueType","ResultDetectionCondition","ResultDetectionQuantitationLimitMeasure","ResultDetectionQuantitationLimitUnit","ResultDetectionQuantitationLimitType","ResultStatusID","ResultComment","ResultAnalyticalMethodID","ResultAnalyticalMethodContext","ResultAnalyticalMethodName","AnalysisStartDate","AnalysisStartTime","AnalysisStartTimeZone","LaboratoryName","LaboratorySampleID"
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-24,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-23,"","","","-0.2","m","Water Bottle","Escherichia coli","","","135","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-22,"","","","-0.2","m","Water Bottle","Escherichia coli","","","145","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-21,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-20,"","","","-0.2","m","Water Bottle","Escherichia coli","","","30","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-19,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-18,"","","","-0.2","m","Water Bottle","Escherichia coli","","","216","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-17,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-16,"","","","-0.2","m","Water Bottle","Escherichia coli","","","75","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-15,"","","","-0.2","m","Water Bottle","Escherichia coli","","","369","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-14,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-13,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-12,"","","","-0.2","m","Water Bottle","Escherichia coli","","","109","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-11,"","","","-0.2","m","Water Bottle","Escherichia coli","","","122","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-10,"","","","-0.2","m","Water Bottle","Escherichia coli","","","359","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-09,"","","","-0.2","m","Water Bottle","Escherichia coli","","","41","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-08,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-07,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-06,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-05,"","","","-0.2","m","Water Bottle","Escherichia coli","","","30","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-04,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-03,"","","","-0.2","m","Water Bottle","Escherichia coli","","","63","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-02,"","","","-0.2","m","Water Bottle","Escherichia coli","","","181","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-08-01,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-31,"","","","-0.2","m","Water Bottle","Escherichia coli","","","591","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-30,"","","","-0.2","m","Water Bottle","Escherichia coli","","","193","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-29,"","","","-0.2","m","Water Bottle","Escherichia coli","","","187","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-28,"","","","-0.2","m","Water Bottle","Escherichia coli","","","85","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-27,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-26,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-25,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-24,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-23,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-22,"","","","-0.2","m","Water Bottle","Escherichia coli","","","85","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-21,"","","","-0.2","m","Water Bottle","Escherichia coli","","","173","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-20,"","","","-0.2","m","Water Bottle","Escherichia coli","","","238","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-19,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-18,"","","","-0.2","m","Water Bottle","Escherichia coli","","","201","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-17,"","","","-0.2","m","Water Bottle","Escherichia coli","","","10","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-16,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-15,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-14,"","","","-0.2","m","Water Bottle","Escherichia coli","","","20","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-13,"","","","-0.2","m","Water Bottle","Escherichia coli","","","30","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-12,"","","","-0.2","m","Water Bottle","Escherichia coli","","","41","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-11,"","","","-0.2","m","Water Bottle","Escherichia coli","","","41","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-10,"","","","-0.2","m","Water Bottle","Escherichia coli","","","31","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-09,"","","","-0.2","m","Water Bottle","Escherichia coli","","","41","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-08,"","","","-0.2","m","Water Bottle","Escherichia coli","","","","","Actual","Below Detection/Quantification Limit","10","MPN/100mL","Reporting Limit","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-07,"","","","-0.2","m","Water Bottle","Escherichia coli","","","122","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
"Mount Allison Phyto Lab Data","Station 1","Parlee Beach Provincial Park",46.241132,-64.512422,"UNKWN","","","Ocean","Sample-Routine","Ocean Water",2023-07-06,"","","","-0.2","m","Water Bottle","Escherichia coli","","","41","MPN/100mL","Actual","","","","","","New Brunswick Department of Health, ref43","9230D","SM","IDEXX Enterolert Test Kit","","","","RPC Moncton",""
